,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
245,"[731, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[611, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[758, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[129, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2142, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2790, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1118, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2755, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[874, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1341, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]"
246,"[2938, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2807, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[806, -0.09, [-0.14, -0.05, 0, 0, 0, 0, 0]]","[571, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1810, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[371, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[1236, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[1750, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2210, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1852, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
247,"[1369, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2336, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[349, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[143, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[2889, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2992, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2420, -0.1599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[921, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2754, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2131, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]"
248,"[1314, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2501, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[1271, -0.21, [-0.14, -0.05, -0.13, 0.01, 0, 0, 0]]","[836, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[2078, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[345, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2686, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[2878, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[766, -1.31, [0, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2923, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
249,"[729, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[569, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[548, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[277, -0.36, [-0.14, -0.05, -0.13, 0.01, 0, 0, -0.15]]","[2801, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2915, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[582, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2598, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[663, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[675, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
250,"[1917, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2781, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[1187, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1757, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1620, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2293, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[1543, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2010, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[670, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[677, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
251,"[694, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1024, -0.07999999999999999, [-0.14, -0.05, 0, 0.01, 0, 0, 0]]","[235, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[868, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2195, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[71, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1452, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[104, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[662, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[167, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
252,"[36, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1824, 0.30000000000000004, [0, 0.16, -0.13, 0, 0, 0.17, 0]]","[2903, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1199, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1932, -1.31, [0, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2201, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2743, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[1939, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1107, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2183, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
253,"[2280, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[1695, -1.3299999999999996, [-0.14, -0.05, -0.7, 0.28, -0.67, 0, -0.15]]","[117, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2300, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1707, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2763, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[148, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[779, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2766, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2180, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]"
254,"[2845, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1933, 0.05, [0, -0.05, 0, 0, 0, 0, 0]]","[544, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[559, -1.1199999999999997, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, -0.15]]","[2349, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2055, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[536, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2128, -1.5999999999999996, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, -0.15]]","[25, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[702, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
