,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
93,"[2164, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[2030, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[530, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[66, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1358, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[870, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2251, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2271, -0.93, [0, 0.16, -0.7, 0.01, -0.67, 0.17, 0]]","[1485, -0.2699999999999999, [0, 0.16, -0.7, 0, 0, 0.17, 0]]","[680, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
94,"[2372, -0.07999999999999999, [0, -0.05, -0.13, 0, 0, 0, 0]]","[141, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[335, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[247, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1105, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[545, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[675, -0.21, [-0.14, -0.05, -0.13, 0.01, 0, 0, 0]]","[428, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1951, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[1026, -0.57, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]"
95,"[2012, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[443, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[2014, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1984, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1245, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2072, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[829, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2409, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2849, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1574, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]"
96,"[1840, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2564, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[540, -0.1599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[431, 0.27, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[1626, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2256, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[94, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1779, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[103, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[1690, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
97,"[2934, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[175, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[2831, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[1920, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1461, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1349, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2641, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0.17, 0]]","[851, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[1332, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[901, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
98,"[2166, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2155, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1314, -1.08, [-0.14, 0.16, -0.7, 0, -0.67, 0.17, 0]]","[1177, -0.65, [0, -0.05, -0.7, 0, 0, 0, 0]]","[2052, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[709, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2161, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[442, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[305, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1632, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
99,"[184, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[1078, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[729, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2114, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2687, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2242, -0.36, [-0.14, -0.05, -0.13, 0.01, 0, 0, -0.15]]","[793, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[1769, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1284, -1.3199999999999998, [0, -0.05, -0.7, 0, -0.67, 0, 0]]","[2157, -0.21, [-0.14, -0.05, -0.13, 0.01, 0, 0, 0]]"
100,"[2744, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2190, -0.58, [-0.14, 0.16, -0.7, 0, 0, 0, 0]]","[1917, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[1246, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1451, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2992, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[33, -0.57, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[418, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[347, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2521, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
101,"[2759, -0.9299999999999998, [-0.14, -0.05, -0.7, 0.01, 0, 0, -0.15]]","[2531, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[36, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[889, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[319, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2088, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[389, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2872, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1791, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[633, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]"
102,"[1861, -0.2699999999999999, [0, 0.16, -0.7, 0, 0, 0.17, 0]]","[533, 0.20000000000000004, [0, -0.05, -0.13, 0.28, 0, 0, 0]]","[2845, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1507, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[610, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[324, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2568, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[444, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[704, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1091, -0.57, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]"
