,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
70,"[2132, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[463, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[471, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2387, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[1320, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[249, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1389, -0.18, [-0.14, -0.05, 0, 0.01, 0, 0, 0]]","[260, -0.82, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[2484, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1185, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]"
71,"[0, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[1839, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2758, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[502, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2783, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1312, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1948, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2675, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[384, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[101, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
72,"[1272, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[1691, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2497, -0.5499999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0, -0.15]]","[1415, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2202, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[1651, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1137, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2585, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[550, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[2449, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]"
73,"[2967, -0.6799999999999999, [-0.14, 0.16, -0.7, 0, 0, 0, 0]]","[478, -0.12, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[2538, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2984, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2734, -1.2199999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, -0.15]]","[2949, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2219, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[661, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1943, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1782, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
74,"[755, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2601, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1494, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[498, 0.06999999999999999, [-0.14, 0.16, -0.13, 0.01, 0, 0.17, 0]]","[2838, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2273, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1116, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2322, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[657, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2246, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
75,"[1770, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[368, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[913, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[821, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1722, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1800, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[336, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[818, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[79, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1952, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]"
76,"[1200, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2523, 0.01999999999999999, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[640, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1421, -0.09, [-0.14, 0.16, -0.13, 0, 0, 0.17, -0.15]]","[1309, -1.6999999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, -0.15]]","[1495, -1.71, [-0.14, -0.05, -0.7, 0, -0.67, 0, -0.15]]","[2405, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[767, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[1688, -1.03, [0, 0.16, -0.7, 0.01, -0.67, 0.17, 0]]","[1193, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]"
77,"[2174, -1.2799999999999998, [-0.14, -0.05, -0.7, 0.28, -0.67, 0, 0]]","[211, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[949, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[205, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1909, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2640, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2381, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2378, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1866, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[579, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
78,"[1991, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[2689, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[789, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[1036, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[1475, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2746, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[381, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[2904, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[487, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[169, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]"
79,"[879, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[1949, -0.83, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[1672, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[979, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[160, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2252, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1535, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[98, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1127, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[903, -1.42, [0, -0.05, -0.7, 0, -0.67, 0, 0]]"
