,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
79,"[2377, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1412, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[268, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1795, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[600, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1447, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1160, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[660, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[710, -0.83, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[2069, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]"
80,"[436, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[139, -0.47, [0, -0.05, -0.7, 0.28, 0, 0, 0]]","[2274, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[611, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[223, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2661, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1523, -0.83, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[637, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[767, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2233, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]"
81,"[1064, 0.2, [-0.14, 0.16, 0, 0.01, 0, 0.17, 0]]","[2230, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[985, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1220, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2615, -0.18, [-0.14, -0.05, 0, 0.01, 0, 0, 0]]","[1679, -0.82, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[574, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[281, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[187, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1610, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
82,"[1268, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1831, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[370, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[1753, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2178, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[778, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2833, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[715, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[630, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1927, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
83,"[2164, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[605, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2670, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2815, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1489, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2954, -1.2799999999999998, [-0.14, -0.05, -0.7, 0.28, -0.67, 0, 0]]","[1858, -0.6799999999999999, [-0.14, 0.16, -0.7, 0, 0, 0, 0]]","[1684, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2514, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[686, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
84,"[2012, -0.75, [0, -0.05, -0.7, 0, 0, 0, 0]]","[568, -0.5499999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0, -0.15]]","[530, -0.19, [-0.14, -0.05, 0, 0, 0, 0, 0]]","[2637, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1501, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2203, -0.13, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[229, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2590, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2185, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2098, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
85,"[270, 0.17, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[1732, -0.12, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[1744, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[435, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[806, -0.18, [-0.14, -0.05, 0, 0.01, 0, 0, 0]]","[2016, 0.17, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[2654, -1.56, [-0.14, -0.05, -0.7, 0, -0.67, 0, 0]]","[1524, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1334, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2918, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]"
86,"[1840, -0.3999999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0, 0]]","[857, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[648, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2445, -0.19, [-0.14, -0.05, 0, 0, 0, 0, 0]]","[349, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2237, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2717, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1069, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1792, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[1891, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
87,"[2934, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2472, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[335, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[467, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2903, 0.01999999999999999, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[812, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[382, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[621, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[833, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2777, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
88,"[978, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2030, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[2014, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[1223, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[117, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[531, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2009, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[342, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1571, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[2395, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
